ringName,URL,dob,pob,gender,notes
"[""Steve Sterling""]",/wrestlers/steve-sterling-14805.html,unknown,"Bayonne, New Jersey",male,
"[""Steve Stone""]",/wrestlers/steve-stone-4334.html,unknown,"Unknown, Unknown",male,
"[""Steve Stone""]",/wrestlers/steve-stone-1650.html,Sep 20th 1957,"Denver, Colorado",male,
"[""Steve Streetman""]",/wrestlers/steve-streetman-7838.html,unknown,Unknown,male,
"[""Steve Szoke""]",/wrestlers/steve-szoke-11731.html,Jun 1st 1975,"Calumet City, Illinois",male,Deceased
"[""Steve Taurus""]",/wrestlers/steve-taurus-6379.html,unknown,"Rotterdam, South Holland",male,
"[""Steve Taylor""]",/wrestlers/steve-taylor-3908.html,Jan 25th 1986,"Leeds, England",male,
"[""Steve the Teacher""]",/wrestlers/steve-the-teacher-6326.html,unknown,Unknown,male,
"[""Steve Thunder""]",/wrestlers/steve-thunder-1834.html,Jul 10th 1978,"Hollywood, California",male,
"[""Steve Travis""]",/wrestlers/steve-travis-5106.html,unknown,"Unknown, Unknown",male,
"[""Steve Urkel""]",/wrestlers/steve-urkel-5973.html,Nov 27th 1976,"Pasadena, California",male,
"[""Steve Vega""]",/wrestlers/steve-vega-7548.html,unknown,Unknown,male,
"[""Steve Walker""]",/wrestlers/steve-walker-8445.html,unknown,Unknown,male,
"[""Steve Weiner""]",/wrestlers/steve-weiner-5603.html,unknown,"Providence, Rhode Island",male,
"[""Steve West""]",/wrestlers/steve-west-11916.html,unknown,Unknown,male,
"[""Steve Williams""]",/wrestlers/steve-williams-498.html,May 14th 1960,"Lakewood, California",male,Deceased
"[""Steve Winters""]",/wrestlers/steve-winters-6962.html,unknown,"Hollywood, California",male,Deceased
"[""Steve Wright""]",/wrestlers/steve-wright-4805.html,Dec 24th 1953,"Warrington, England",male,
"[""Steve Zapf""]",/wrestlers/steve-zapf-12086.html,unknown,"Brick, New Jersey",male,
"[""Steven Andrews""]",/wrestlers/steven-andrews-11627.html,unknown,"Hesperia, California",male,
"[""Steven Bourne""]",/wrestlers/steven-bourne-15089.html,unknown,,male,
"[""Steven Carvel""]",/wrestlers/steven-carvel-15022.html,unknown,,male,
"[""Steven Casey""]",/wrestlers/steven-casey-1613.html,unknown,Unknown,male,
"[""Steven Dane""]",/wrestlers/steven-dane-4048.html,unknown,"San Antonio, Texas",male,
"[""Steven Debbes""]",/wrestlers/steven-debbes-1475.html,unknown,Unknown,male,
"[""Steven Dunn""]",/wrestlers/steven-dunn-188.html,Dec 9th 1964,"Hendersonville, Tennessee",male,Deceased
"[""Steven Kennedy""]",/wrestlers/steven-kennedy-10522.html,unknown,Unknown,male,
"[""Steven Lee""]",/wrestlers/steven-lee-3691.html,Jun 23rd 1972,Unknown,male,Deceased
"[""Steven Mainz""]",/wrestlers/steven-mainz-13296.html,unknown,,male,
"[""Steven Peña""]",/wrestlers/steven-pea-13400.html,unknown,,male,
"[""Steven Perez""]",/wrestlers/steven-perez-3593.html,unknown,Unknown,male,
"[""Steven Person""]",/wrestlers/steven-person-14835.html,unknown,,male,
"[""Steven Regal""]",/wrestlers/steven-regal-316.html,May 10th 1968,"Codsall Wood, England",male,
"[""Steven Richards""]",/wrestlers/steven-richards-314.html,Oct 9th 1971,"Philadelphia, Pennsylvania",male,
"[""Steven Smith""]",/wrestlers/steven-smith-10703.html,unknown,Unknown,male,
"[""Steven Splash""]",/wrestlers/steven-splash-13110.html,unknown,"Santa Cruz, California",male,
"[""Steven Sterling""]",/wrestlers/steven-sterling-14805.html,unknown,"Bayonne, New Jersey",male,
"[""Steven The Sweet Boy""]",/wrestlers/steven-the-sweet-boy-2437.html,unknown,Unknown,male,
"[""Steven Tresario""]",/wrestlers/steven-tresario-14411.html,unknown,"Hayward, California",male,
"[""Steven Walters""]",/wrestlers/steven-walters-7706.html,May 17th 1987,"Raleigh, North Carolina",male,
"[""Steven Weiner""]",/wrestlers/steven-weiner-5603.html,unknown,"Providence, Rhode Island",male,
"[""Stevie Banks""]",/wrestlers/stevie-banks-12936.html,unknown,,male,
"[""Stevie Boy""]",/wrestlers/stevie-boy-14445.html,unknown,"Unknown, Scotland",male,
"[""Stevie Fierce""]",/wrestlers/stevie-fierce-12718.html,unknown,,male,
"[""Stevie Filip""]",/wrestlers/stevie-filip-14552.html,unknown,"Melbourne, Victoria",male,
"[""Stevie Flint""]",/wrestlers/stevie-flint-7950.html,unknown,Unknown,male,
"[""Stevie Jones""]",/wrestlers/stevie-jones-15142.html,unknown,"Unknown, England",male,
"[""Stevie Knight""]",/wrestlers/stevie-knight-4558.html,Feb 4th 1976,"Grimsby, England",male,
"[""Stevie Lee""]",/wrestlers/stevie-lee-3691.html,Jun 23rd 1972,Unknown,male,Deceased
"[""Stevie Lynn""]",/wrestlers/stevie-lynn-4566.html,Aug 1st 1983,"Teaside, England",male,
"[""Stevie Ray""]",/wrestlers/stevie-ray-629.html,Aug 22nd 1958,"Houston, Texas",male,
"[""Stevie Richards""]",/wrestlers/stevie-richards-314.html,Oct 9th 1971,"Philadelphia, Pennsylvania",male,
"[""Stevie Shields""]",/wrestlers/stevie-shields-13896.html,unknown,,male,
"[""Stevie Stamos""]",/wrestlers/stevie-stamos-14117.html,unknown,,male,
"[""Stevie Starr""]",/wrestlers/stevie-starr-7763.html,unknown,"Swansea, Wales",male,
"[""Stevie Steiner""]",/wrestlers/stevie-steiner-8067.html,unknown,Unknown,male,
"[""Stevie Woltz""]",/wrestlers/stevie-woltz-7007.html,Jul 21st 1991,"Aaron's Creek, Virginia",male,
"[""Stevie Wonderful""]",/wrestlers/stevie-wonderful-5453.html,unknown,Unknown,male,
"[""Stevie Xavier""]",/wrestlers/stevie-xavier-14445.html,unknown,"Unknown, Scotland",male,
"[""Stewart Cumberland""]",/wrestlers/stewart-cumberland-9528.html,unknown,"San Francisco, California",male,
"[""Stewie Scrivens""]",/wrestlers/stewie-scrivens-3259.html,Apr 22nd 1986,"Murray, Kentucky",male,
"[""Stiches""]",/wrestlers/stiches-10650.html,unknown,Unknown,unspecified,
"[""Stiff Jackson""]",/wrestlers/stiff-jackson-3560.html,unknown,Unknown,male,
"[""Stigma""]",/wrestlers/stigma-3017.html,unknown,"Wilkes-Barre, Pennsylvania",male,
"[""STIGMA""]",/wrestlers/stigma-3017.html,unknown,"Wilkes-Barre, Pennsylvania",male,
"[""Still Life With Apricots and Pears""]",/wrestlers/still-life-with-apricots-and-pears-14089.html,unknown,,male,
"[""Sting""]",/wrestlers/sting-494.html,Mar 20th 1959,"Omaha, Nebraska",male,
"[""Stinky the Homeless Guy""]",/wrestlers/stinky-the-homeless-guy-5648.html,unknown,"Unknown, Unknown",male,Deceased
"[""Stitch Osiris""]",/wrestlers/stitch-osiris-12011.html,unknown,Unknown,male,
"[""Stitch Sypher""]",/wrestlers/stitch-sypher-8103.html,unknown,Unknown,male,
"[""Stixx""]",/wrestlers/stixx-4563.html,Oct 27th 1981,"Nottingham, England",male,
"[""Stockade""]",/wrestlers/stockade-9854.html,unknown,"New York, New York",male,
"[""Stokely Hathaway""]",/wrestlers/stokely-hathaway-9838.html,unknown,"New York, New York",male,
"[""Stokely Hathaway (Chuck Taylor)""]",/wrestlers/stokely-hathaway-chuck-taylor-3259.html,Apr 22nd 1986,"Murray, Kentucky",male,
"[""Stone Cold""]",/wrestlers/stone-cold-13148.html,unknown,Unknown,male,
"[""Stone Cold ET""]",/wrestlers/stone-cold-et-10060.html,unknown,Unknown,male,
"[""Stone Cold Kid""]",/wrestlers/stone-cold-kid-1665.html,unknown,Unknown,male,
"[""Stone Mountain""]",/wrestlers/stone-mountain-2578.html,unknown,"Stone Mountain, Georgia",male,
"[""Stone Rockwell""]",/wrestlers/stone-rockwell-5321.html,Feb 14th 1980,"Toronto, Ontario",male,
"[""Stonehenge""]",/wrestlers/stonehenge-13936.html,unknown,,male,
"[""Stonewall""]",/wrestlers/stonewall-9564.html,unknown,Unknown,male,
"[""Stoney Burke""]",/wrestlers/stoney-burke-7195.html,unknown,"Cheyenne, Wyoming",male,
"[""Stoney Hooker""]",/wrestlers/stoney-hooker-9192.html,unknown,Unknown,male,
"[""Stoney McGee""]",/wrestlers/stoney-mcgee-9762.html,unknown,Unknown,male,
"[""Scotty 2 Hotty""]",/wrestlers/scotty-2-hotty-261.html,Jul 2nd 1973,"Westbrook, Maine",male,
"[""Scotty Aboot""]",/wrestlers/scotty-aboot-10216.html,unknown,"Unknown, Nova Scotia",male,
"[""Scotty Anton""]",/wrestlers/scotty-anton-659.html,Mar 1st 1967,"Atlanta, Georgia",male,
"[""Scotty Blaze""]",/wrestlers/scotty-blaze-3653.html,unknown,"Panama City, Florida",male,
"[""Scotty Charisma""]",/wrestlers/scotty-charisma-2904.html,unknown,"Sloatsburg, New York",male,
"[""Scotty Cruz""]",/wrestlers/scotty-cruz-3602.html,unknown,Unknown,male,
"[""Scotty Davis""]",/wrestlers/scotty-davis-14994.html,unknown,,male,
"[""Scotty Essex""]",/wrestlers/scotty-essex-13313.html,unknown,"Unknown, England",male,
"[""Scotty Flamingo""]",/wrestlers/scotty-flamingo-315.html,Sep 8th 1964,"Philadelphia, Pennsylvania",male,
"[""Scotty Goldman""]",/wrestlers/scotty-goldman-1772.html,May 6th 1980,"Deerfield, Illinois",male,
"[""Scotty Hotshot""]",/wrestlers/scotty-hotshot-3917.html,unknown,"Unknown, Florida",male,
"[""Scotty Keyes""]",/wrestlers/scotty-keyes-10290.html,unknown,Unknown,male,
"[""Scotty Mac""]",/wrestlers/scotty-mac-6006.html,unknown,"Kelowna, British Columbia",male,
"[""Scotty Mack""]",/wrestlers/scotty-mack-6006.html,unknown,"Kelowna, British Columbia",male,
"[""Scotty Matthews""]",/wrestlers/scotty-matthews-8627.html,unknown,"Carthage, North Carolina",male,
"[""Scotty McKeever""]",/wrestlers/scotty-mckeever-1398.html,unknown,Unknown,male,
"[""Scotty O""]",/wrestlers/scotty-o-3525.html,Sep 19th 1977,"Uhrichsville, Ohio",male,
"[""Scotty O'Shea""]",/wrestlers/scotty-o39shea-9064.html,unknown,"Hamilton, Ontario",male,
"[""Scotty Rayz""]",/wrestlers/scotty-rayz-12224.html,unknown,,male,
"[""Scotty Riggs""]",/wrestlers/scotty-riggs-659.html,Mar 1st 1967,"Atlanta, Georgia",male,
"[""Scotty Rocker""]",/wrestlers/scotty-rocker-6894.html,unknown,Unknown,male,
"[""Scotty Sabre""]",/wrestlers/scotty-sabre-3525.html,Sep 19th 1977,"Uhrichsville, Ohio",male,
"[""Scotty Slade""]",/wrestlers/scotty-slade-9202.html,unknown,Unknown,male,
"[""Scotty Summers""]",/wrestlers/scotty-summers-1358.html,unknown,"Unknown, Oklahoma",male,
"[""Scotty The Body""]",/wrestlers/scotty-the-body-315.html,Sep 8th 1964,"Philadelphia, Pennsylvania",male,
